timestamp,service_name,cpu_cores,memory_bytes,cpu_millicores,memory_mb,memory_gb
2026-02-01T03:42:51.342453,catalogue,0.001,213909504,1,204,0.19921875
2026-02-01T03:42:51.342453,front,0.005,69206016,5,66,0.064453125
2026-02-01T03:42:51.342453,orders,0.002,363855872,2,347,0.3388671875
2026-02-01T03:42:51.342453,orders,0.008,119537664,8,114,0.111328125
2026-02-01T03:42:51.342453,payment,0.002,12582912,2,12,0.01171875
2026-02-01T03:42:51.342453,queue,0.002,318767104,2,304,0.296875
2026-02-01T03:42:51.342453,rabbitmq,0.072,128974848,72,123,0.1201171875
2026-02-01T03:42:51.342453,session,0.003,5242880,3,5,0.0048828125
2026-02-01T03:42:51.342453,shipping,0.002,330301440,2,315,0.3076171875
2026-02-01T03:42:51.342453,user,0.002,13631488,2,13,0.0126953125
2026-02-01T03:42:51.342453,user,0.006,48234496,6,46,0.044921875
2026-02-01T03:43:01.536359,carts,0.003,362807296,3,346,0.337890625
2026-02-01T03:43:01.536359,carts,0.008,125829120,8,120,0.1171875
2026-02-01T03:43:01.536359,catalogue,0.002,16777216,2,16,0.015625
2026-02-01T03:43:01.536359,catalogue,0.002,213909504,2,204,0.19921875
2026-02-01T03:43:01.536359,front,0.005,70254592,5,67,0.0654296875
2026-02-01T03:43:01.536359,orders,0.003,363855872,3,347,0.3388671875
2026-02-01T03:43:01.536359,orders,0.008,119537664,8,114,0.111328125
2026-02-01T03:43:01.536359,payment,0.001,12582912,1,12,0.01171875
2026-02-01T03:43:01.536359,queue,0.002,318767104,2,304,0.296875
2026-02-01T03:43:01.536359,rabbitmq,0.074,130023424,74,124,0.12109375
2026-02-01T03:43:01.536359,session,0.003,5242880,3,5,0.0048828125
2026-02-01T03:43:01.536359,shipping,0.002,330301440,2,315,0.3076171875
2026-02-01T03:43:01.536359,user,0.002,13631488,2,13,0.0126953125
2026-02-01T03:43:01.536359,user,0.006,48234496,6,46,0.044921875
